,open,high,low,close,volume,symbol,timeframe,ema_9,sma_14,rsi_14,macd_line,macd_signal,macd_hist,bollinger_upper,bollinger_middle,bollinger_lower,atr_14,pct_change,log_return
2025-01-15,222.83,223.57,220.75,223.35,31291257,AMZN,daily,221.39135042875608,222.52214285714285,47.71084337349397,1.0985982350719041,2.3019536280685142,-1.20335539299661,232.0772355946088,223.65899999999996,215.24076440539113,4.942521428571431,2.5670462894930246,0.025346508894971788
2025-01-16,224.42,224.65,220.31,220.66,24757276,AMZN,daily,221.24508034300487,221.92285714285714,38.3633841886269,0.933947072771872,2.028352317009186,-1.094405244237314,230.33112672953595,223.04550000000003,215.7598732704641,4.9610928571428605,-1.2043877322587826,-0.012116992465967626
2025-01-17,225.84,226.51,223.08,225.94,42370123,AMZN,daily,222.1840642744039,221.84357142857144,48.588863463005325,1.2155001841006765,1.865781890427484,-0.6502817063268076,229.16704224037397,222.785,216.40295775962602,5.20899285714286,2.3928215353938187,0.0236464219666227
2025-01-21,228.9,231.78,226.94,230.71,39951456,AMZN,daily,223.88925141952313,222.34071428571428,58.52941176470589,1.8027511951519841,1.853175751372384,-0.050424556220399985,230.4903071856224,223.29450000000003,216.09869281437764,5.186850000000002,2.1111799592812286,0.020892033278734474
2025-01-22,232.02,235.44,231.19,235.01,41448217,AMZN,daily,226.11340113561852,223.32,66.07268464243842,2.585323910988194,1.9996053832955463,0.5857185276926478,232.78157379684416,223.88050000000004,214.97942620315592,5.144707142857145,1.8638117116726471,0.018466555852769646
2025-01-23,234.1,235.52,231.51,235.42,26404364,AMZN,daily,227.97472090849482,224.46499999999997,69.4775212636695,3.2016948546092294,2.240023277558283,0.9616715770509465,234.69504804388376,224.40550000000002,214.11595195611628,5.12471428571429,0.1744606612484656,0.0017430865540477031
2025-01-24,234.5,236.4,232.93,234.85,25890738,AMZN,daily,229.34977672679585,225.51000000000002,67.88945952555638,3.6026499260546814,2.5125486072575627,1.0901013187971187,236.19728016119439,224.89499999999998,213.59271983880558,4.875428571428576,-0.24212046555093236,-0.002424140511330493
2025-01-27,226.21,235.61,225.86,235.42,49428332,AMZN,daily,230.5638213814367,226.31214285714285,64.97732728727661,3.9212027606509423,2.794279437936239,1.1269233227147035,237.33789954020608,225.21349999999998,213.08910045979388,5.204714285714289,0.24270811156057448,0.002424140511330511
2025-01-28,234.29,241.77,233.98,238.15,41587188,AMZN,daily,232.08105710514937,227.065,64.32065217391303,4.343872898746014,3.104198130098194,1.23967476864782,239.1933383700952,225.7685,212.34366162990477,5.429357142857147,1.1596295981649796,0.0115295742625348
2025-01-29,239.015,240.39,236.15,237.07,26091716,AMZN,daily,233.07884568411953,228.13357142857143,73.10067943174796,4.539368045131084,3.3912321131047722,1.148135932026312,240.73100892240637,226.4345,212.13799107759365,5.237857142857146,-0.453495695989925,-0.004545271071728406
2025-01-30,237.14,237.95,232.22,234.64,32020728,AMZN,daily,233.39107654729563,229.02714285714288,67.97930439781544,4.446956914291661,3.6023770733421503,0.8445798409495109,241.63221270031076,227.10150000000004,212.57078729968933,5.410000000000001,-1.0250137090310862,-0.010303031505945406
2025-01-31,236.5,240.29,236.41,237.68,36162377,AMZN,daily,234.2488612378365,230.3657142857143,77.04965357967666,4.566384581989695,3.7951785750716596,0.7712060069180353,242.80314861663837,228.016,213.22885138336162,5.411428571428573,1.2956017729287561,0.012872806485156745
2025-02-03,234.06,239.25,232.9,237.42,37285868,AMZN,daily,234.88308899026921,231.72,77.5421266705403,4.587173956032387,3.9535776512638057,0.6335963047685818,243.75445124933947,228.87599999999998,213.99754875066048,5.655714285714287,-0.10939077751599413,-0.0010945065289643418
2025-02-04,239.01,242.52,238.03,242.06,29713812,AMZN,daily,236.31847119221538,233.45571428571427,81.67361835245043,4.9213288906125,4.147127899133545,0.7742009914789554,245.58016858335398,229.76950000000002,213.95883141664606,5.61857142857143,1.9543425153736083,0.01935490468506991
2025-02-05,237.02,238.32,235.2,236.17,38832042,AMZN,daily,236.28877695377233,234.37142857142857,66.5804449042938,4.657190119806444,4.249140343268125,0.4080497765383191,246.2239989445942,230.19750000000005,214.1710010554059,5.693571428571431,-2.4332810047095865,-0.02463374462139765
2025-02-06,238.01,239.6599,236.01,238.83,60897095,AMZN,daily,236.7970215630179,235.6692857142857,73.5179911985503,4.6093641299178785,4.3211851005980755,0.288179029319803,247.02800994626213,231.0335,215.03899005373788,5.644278571428574,1.1263073209975882,0.011200117079536328
2025-02-07,232.5,234.81,228.06,229.15,77539276,AMZN,daily,235.26761725041433,235.89857142857142,53.729955844759466,3.7471715266727585,4.206382385813012,-0.4592108591402537,246.855878634179,231.38449999999997,215.91312136582096,5.995707142857147,-4.053092157601645,-0.04137519081346349
2025-02-10,230.545,233.92,229.2,233.14,35419926,AMZN,daily,234.8420938003315,236.07214285714284,52.87573964497038,3.3472522902080755,4.0345563666920246,-0.6873040764839491,246.42232420033886,232.0945,217.76667579966116,5.919278571428573,1.7412175430940424,0.017262320536553234
2025-02-11,231.92,233.44,230.13,232.76,23713726,AMZN,daily,234.4256750402652,235.91142857142856,47.06496217062354,2.965466537533956,3.820738400860411,-0.8552718633264549,245.6192815832493,232.80949999999999,219.99971841675068,5.817850000000003,-0.16299219353178573,-0.001631251703217151
2025-02-12,230.46,231.18,228.16,228.93,32285249,AMZN,daily,233.32654003221216,235.44785714285715,42.22754491017968,2.327025089854402,3.5219957386592093,-1.1949706488048073,244.24293032040717,233.368,222.49306967959282,5.859992857142858,-1.645471730537884,-0.016591599818817578
2025-02-13,228.85,230.42,227.52,230.37,31346512,AMZN,daily,232.73523202576976,235.12785714285715,44.744251525105604,1.9151746668592864,3.200631524299225,-1.2854568574399385,243.64417458417446,233.719,223.79382541582552,5.819278571428571,0.6290132354868305,0.006270432040910372
2025-02-14,229.2,229.89,227.23,228.68,27031084,AMZN,daily,231.92418562061584,234.64642857142857,42.29538180155467,1.435859666884653,2.8476771528163107,-1.4118174859316577,242.32213322701546,234.11999999999998,225.9178667729845,5.347135714285715,-0.7336024655988149,-0.007363065614791294
2025-02-18,228.82,229.3,223.72,226.65,42975133,AMZN,daily,230.8693484964927,233.82500000000002,36.64033457249073,0.8820275766836119,2.4545472375897712,-1.5725196609061594,242.21344142445992,234.1555,226.09755857554006,5.189278571428572,-0.8877033409130708,-0.008916669008912316
2025-02-19,225.52,226.83,223.71,226.63,28566709,AMZN,daily,230.02147879719416,233.0792857142857,37.565507384468816,0.43646650798839914,2.050931091669497,-1.614464583681098,242.564206097146,233.95149999999998,225.33879390285395,5.109278571428574,-0.008824178248401093,-8.824567601914891e-05
2025-02-20,224.775,225.13,221.81,222.88,30001665,AMZN,daily,228.59318303775532,232.2392857142857,36.42032332563514,-0.21673907583823393,1.597397058167951,-1.814136134006185,243.25458812676547,233.34499999999997,223.43541187323447,5.044278571428573,-1.6546794334377668,-0.016685221679343602
2025-02-21,223.28,223.31,214.74,216.58,55323850,AMZN,daily,226.19054643020428,230.73214285714286,27.341065292096232,-1.2286039739834393,1.032196851737673,-2.2608008257211125,244.76135127821726,232.40299999999996,220.04464872178266,5.252850000000001,-2.82663316582914,-0.028673515831262143
2025-02-24,217.45,217.715,212.42,212.71,42387585,AMZN,daily,223.49443714416344,228.96714285714285,25.37372932031097,-2.316092381658592,0.36253900505841996,-2.678631386717012,246.3941314981976,231.296,216.1978685018024,5.17749285714286,-1.7868685935912842,-0.018030258524674245
2025-02-25,211.63,213.34,204.16,212.8,58957977,AMZN,daily,221.35554971533077,226.87714285714287,17.930732135028506,-3.1345395115276915,-0.3368766982588024,-2.797662813268889,247.22397448636173,230.16500000000002,213.10602551363831,5.46892142857143,0.04231112782662194,0.0004230217919302169
