Date,Mean_Price,Median_Price,Std_Dev,CI_Lower,CI_Upper,Up_Votes,Down_Votes,Same_Votes,Total_Votes,Direction,Confidence,Pct_Change,Cumulative_Return,Signal
2025-03-25 21:30:00,223.07441343715917,223.87141797789897,2.10420776669497,218.95016621443702,227.1986606598813,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-0.00019748520850770834,-0.0030193812864395264,BUY
2025-03-25 21:35:00,223.20491735097187,223.87144967355104,1.8827519800665433,219.51472347004145,226.8951112319023,2.0,1.0,0.0,3.0,UP,0.6666666666666666,0.0005850241262630451,-0.002436123571075477,BUY
2025-03-25 21:40:00,223.13246917366146,223.8714717227003,2.0056419978386772,219.20141085789766,227.06352748942527,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-0.0003245814571212202,-0.0027599143076583177,BUY
2025-03-25 21:45:00,223.21105082406393,223.87148688149043,1.8724341617445557,219.5410798670446,226.88102178108326,2.0,1.0,0.0,3.0,UP,0.6666666666666666,0.00035217487931493707,-0.0024087114008315424,BUY
2025-03-25 21:50:00,223.1416426275221,223.8714951499214,1.9901109780567245,219.2410251105309,227.04226014451328,2.0,1.0,0.0,3.0,UP,0.6666666666666666,-0.000310953226937416,-0.002718915631186203,BUY
2025-03-25 21:55:00,223.18403826894487,223.8715034183524,1.9182171530956131,219.42433264887748,226.94374388901227,2.0,1.0,0.0,3.0,UP,0.6666666666666666,0.0001899943055163611,-0.0025294379041569393,BUY
2025-03-26 00:00:00,169.84287933211476,217.64757957265604,80.06809709602116,12.909409023913298,326.7763496403162,1.0,4.0,0.0,5.0,DOWN,0.8,-0.23900077868719305,-0.24092567896261563,SELL
2025-03-27 00:00:00,171.20192661017668,219.905125964006,80.63736659386177,13.152688086207604,329.25116513414577,3.0,2.0,0.0,5.0,UP,0.6,0.00800179132269907,-0.234851724647255,BUY
2025-03-28 00:00:00,172.15173931849543,221.6033891229004,81.0204320626338,13.351692475733188,330.9517861612577,3.0,2.0,0.0,5.0,UP,0.6,0.005547908993345896,-0.23060675164918243,BUY
2025-03-29 00:00:00,172.45503478759042,222.05516725711644,80.99696191445038,13.700989435267672,331.20908013991317,3.0,2.0,0.0,5.0,UP,0.6,0.001761791488692932,-0.22925124117278028,BUY
2025-03-30 00:00:00,172.63552645590858,221.89134129717837,81.02540891922013,13.825724974237119,331.44532793758003,3.0,2.0,0.0,5.0,UP,0.6,0.0010466013273573438,-0.22844457449873268,BUY
2025-03-31 00:00:00,172.79480670198436,221.62181284575172,81.14686397042722,13.74695331994701,331.8426600840217,3.0,2.0,0.0,5.0,UP,0.6,0.0009226388643501782,-0.2277327074771649,BUY
2025-04-01 00:00:00,172.6976269459288,221.1663863699728,81.05926284486286,13.8214717699976,331.57378212185995,3.0,2.0,0.0,5.0,UP,0.6,-0.0005623997497978817,-0.2281670304092568,BUY
2025-04-02 00:00:00,172.50939194556148,220.4540379942787,80.92806332809661,13.89038782249213,331.1283960686308,3.0,2.0,0.0,5.0,UP,0.6,-0.001089968656177609,-0.22900830415391515,BUY
2025-04-03 00:00:00,172.49732965884922,219.83135066435128,80.98071419702887,13.775129832672633,331.2195294850258,3.0,2.0,0.0,5.0,UP,0.6,-6.992249277681939e-05,-0.22906221381519898,BUY
2025-04-04 00:00:00,172.42252128997092,219.5352341288399,80.93732819552095,13.785358026749861,331.05968455319197,3.0,2.0,0.0,5.0,UP,0.6,-0.0004336784170877461,-0.22939655289398475,BUY
2025-04-05 00:00:00,172.43509009960826,219.3253795631049,80.97782213195258,13.718558720981207,331.1516214782353,3.0,2.0,0.0,5.0,UP,0.6,7.289540567745334e-05,-0.2293403794430916,BUY
2025-04-06 00:00:00,172.579460556455,219.47400763295403,81.1169860158667,13.590167965356272,331.5687531475537,3.0,2.0,0.0,5.0,UP,0.6,0.0008372452310219103,-0.2286951483510391,BUY
